Year,Frequency,Exponential_Predictions,Residuals,Linear_Predictions,Linear_Residuals
1920,1,1.0,0.0,1.0,0.0
1921,1,1.0,0.0,1.0,0.0
1922,1,1.0,0.0,1.0,0.0
1923,0,1.0,-1.0,1.0,-1.0
1924,1,1.0,0.0,1.0,0.0
1925,1,1.0,0.0,1.0,0.0
1926,0,1.0844181933498476,-1.0844181933498476,1.0,-1.0
1927,1,1.227534691017354,-0.2275346910173539,1.0,0.0
1928,2,1.3694263107900042,0.6305736892099958,1.0,1.0
1929,1,1.5102955451293383,-0.5102955451293383,1.0,0.0
1930,1,1.6503448863804806,-0.6503448863804806,1.0,0.0
1931,4,1.7897768267721403,2.2102231732278597,1.0,3.0
1932,3,1.928793858649442,1.071206141350558,1.0,2.0
1933,2,2.06759847435751,-0.06759847435750999,1.0,1.0
1934,2,2.2063931657758076,-0.20639316577580757,1.162921348314626,0.8370786516853741
1935,2,2.3453804257151205,-0.3453804257151205,1.4387640449438095,0.5612359550561905
1936,2,2.4847627461713273,-0.4847627461713273,1.7146067415731068,0.2853932584268932
1937,2,2.6247426196059678,-0.6247426196059678,1.9904494382022904,0.009550561797709634
1938,2,2.765522538247751,-0.7655225382477511,2.266292134831474,-0.26629213483147396
1939,2,2.9073049943253864,-0.9073049943253864,2.5421348314606576,-0.5421348314606576
1940,4,3.050292480183998,0.9497075198160019,2.817977528089955,1.1820224719100452
1941,3,3.1946874880522955,-0.19468748805229552,3.0938202247191384,-0.09382022471913842
1942,3,3.3406925103918184,-0.34069251039181836,3.369662921348322,-0.369662921348322
1943,3,3.488510039198445,-0.48851003919844516,3.6455056179775056,-0.6455056179775056
1944,3,3.6383425669337157,-0.6383425669337157,3.921348314606803,-0.9213483146068029
1945,4,3.79039258605917,0.20960741394083016,4.1971910112359865,-0.19719101123598648
1946,3,3.944862588570686,-0.9448625885706861,4.47303370786517,-1.47303370786517
1947,3,4.101955066929804,-1.1019550669298042,4.748876404494354,-1.7488764044943537
1948,3,4.261872513365233,-1.2618725133652333,5.024719101123651,-2.024719101123651
1949,4,4.424817420338513,-0.42481742033851333,5.3005617977528345,-1.3005617977528345
1950,4,4.590992279729107,-0.5909922797291074,5.576404494382018,-1.5764044943820181
1951,4,4.760599584231386,-0.760599584231386,5.852247191011315,-1.8522471910113154
1952,4,4.9338418258412275,-0.9338418258412275,6.128089887640499,-2.128089887640499
1953,6,5.110921497136587,0.8890785028634127,6.403932584269683,-0.4039325842696826
1954,7,5.292041090346174,1.7079589096538257,6.679775280898866,0.3202247191011338
1955,5,5.477403097465867,-0.4774030974658672,6.9556179775281635,-1.9556179775281635
1956,6,5.667210010957206,0.33278998904279433,7.231460674157347,-1.231460674157347
1957,6,5.861664323398145,0.13833567660185508,7.507303370786531,-1.5073033707865306
1958,6,6.060968526784563,-0.06096852678456344,7.783146067415714,-1.7831460674157142
1959,6,6.265325113461586,-0.2653251134615857,8.058988764045012,-2.0589887640450115
1960,7,6.474936575657921,0.5250634243420791,8.334831460674195,-1.3348314606741951
1961,7,6.690005405602278,0.3099945943977218,8.610674157303379,-1.6106741573033787
1962,8,6.910734096105443,1.0892659038945567,8.886516853932562,-0.8865168539325623
1963,7,7.1373251386976335,-0.13732513869763352,9.16235955056186,-2.1623595505618596
1964,8,7.369981026189635,0.6300189738103654,9.438202247191043,-1.4382022471910432
1965,8,7.608904250577325,0.391095749422675,9.714044943820227,-1.7140449438202268
1966,9,7.85429730443866,1.14570269556134,9.98988764044941,-0.9898876404494104
1967,9,8.106362679885933,0.8936373201140668,10.265730337078708,-1.2657303370787076
1968,9,8.365302869147854,0.6346971308521461,10.541573033707891,-1.5415730337078912
1969,9,8.631320364685962,0.368679635314038,10.817415730337075,-1.8174157303370748
1970,9,8.904617658728966,0.09538234127103351,11.093258426966372,-2.093258426966372
1971,10,9.185397243505577,0.8146027564944234,11.369101123595556,-1.3691011235955557
1972,10,9.473861611360917,0.5261383886390831,11.64494382022474,-1.6449438202247393
1973,11,9.770213254523696,1.2297867454763036,11.920786516853923,-0.9207865168539229
1974,10,10.07465466533904,-0.07465466533903964,12.19662921348322,-2.19662921348322
1975,11,10.387388336268486,0.6126116637315135,12.472471910112404,-1.4724719101124037
1976,11,10.7086167591915,0.2913832408085,12.748314606741587,-1.7483146067415873
1977,11,11.03854242680245,-0.03854242680245079,13.024157303370771,-2.024157303370771
1978,12,11.377367831097217,0.6226321689027827,13.300000000000068,-1.3000000000000682
1979,12,11.725295464653755,0.2747045353462454,13.575842696629252,-1.5758426966292518
1980,12,12.082527819467941,-0.0825278194679413,13.851685393258435,-1.8516853932584354
1981,13,12.449267388001317,0.5507326119986828,14.127528089887619,-1.127528089887619
1982,13,12.825716662599007,0.17428333740099333,14.403370786516916,-1.4033707865169163
1983,13,13.212078135489719,-0.212078135489719,14.6792134831461,-1.6792134831460999
1984,13,13.608554298669333,-0.6085542986693326,14.955056179775283,-1.9550561797752835
1985,14,14.015347644832218,-0.015347644832218066,15.230898876404467,-1.230898876404467
1986,14,14.432660666207084,-0.43266066620708443,15.506741573033764,-1.5067415730337643
1987,14,14.860695855022641,-0.8606958550226409,15.782584269662948,-1.782584269662948
1988,15,15.299655703507597,-0.2996557035075966,16.05842696629213,-1.0584269662921315
1989,16,15.74974270389066,0.2502572961093392,16.33426966292143,-0.3342696629214288
1990,15,16.21115934874979,-1.2111593487497885,16.610112359550612,-1.6101123595506124
1991,16,16.684108130197274,-0.6841081301972736,16.885955056179796,-0.885955056179796
1992,17,17.168791540461825,-0.1687915404618252,17.16179775280898,-0.16179775280897957
1993,16,17.665412071888568,-1.6654120718885679,17.437640449438277,-1.4376404494382768
1994,17,18.174172216589795,-1.1741722165897954,17.71348314606746,-0.7134831460674604
1995,17,18.69527446725988,-1.6952744672598783,17.989325842696644,-0.989325842696644
1996,18,19.228921316127526,-1.2289213161275256,18.265168539325828,-0.2651685393258276
1997,19,19.7753152550722,-0.7753152550722007,18.541011235955125,0.4589887640448751
1998,19,20.334658776788274,-1.3346587767882738,18.81685393258431,0.1831460674156915
1999,22,20.907154373271624,1.0928456267283764,19.092696629213492,2.907303370786508
2000,23,21.493004537100205,1.5069954628997948,19.368539325842676,3.6314606741573243
2001,21,22.092411760386312,-1.0924117603863124,19.644382022471973,1.355617977528027
2002,22,22.705578535358654,-0.7055785353586543,19.920224719101157,2.0797752808988434
2003,27,23.33270735447877,3.667292645521229,20.19606741573034,6.80393258426966
2004,24,23.974000710208202,0.02599928979179822,20.471910112359524,3.5280898876404763
2005,24,24.62966109419358,-0.6296610941935796,20.74775280898882,3.252247191011179
2006,26,25.299890999362106,0.7001090006378945,21.023595505618005,4.976404494381995
2007,26,25.984892917709658,0.015107082290342078,21.299438202247188,4.700561797752812
2008,28,26.68486934158136,1.3151306584186386,21.575280898876372,6.424719101123628
