Date,Name,Year,Letterboxd URI
2019-01-13,Man of Steel,2013,https://boxd.it/FRk
2020-01-12,Snowpiercer,2013,https://boxd.it/3Icg
2020-01-12,1917,2019,https://boxd.it/jj4y
2020-01-27,Joker,2019,https://boxd.it/h4cS
2021-01-14,Mandy,2018,https://boxd.it/gtti
2021-01-14,Doctor Sleep,2019,https://boxd.it/i5vI
2021-01-14,Malcolm X,1992,https://boxd.it/27WE
2021-01-14,Being John Malkovich,1999,https://boxd.it/2ahu
2021-01-14,Heathers,1989,https://boxd.it/26x4
2021-01-14,Face/Off,1997,https://boxd.it/29I0
2021-01-14,Uncut Gems,2019,https://boxd.it/gXGc
2021-01-14,Con Air,1997,https://boxd.it/28gO
2021-01-14,The Rock,1996,https://boxd.it/1XM0
2021-01-14,Broken Arrow,1996,https://boxd.it/1Z9u
2021-01-14,National Treasure,2004,https://boxd.it/27x0
2021-01-14,Vampire's Kiss,1988,https://boxd.it/21aY
2021-01-14,Batman Begins,2005,https://boxd.it/2aIg
2021-01-17,Color Out of Space,2019,https://boxd.it/k1HY
2021-01-17,Ghost Rider,2007,https://boxd.it/290M
2021-01-17,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2021-01-18,The Sorcerer's Apprentice,2010,https://boxd.it/1sGg
2021-01-21,Apostle,2018,https://boxd.it/f0so
2021-01-21,Attack the Block,2011,https://boxd.it/hFO
2021-01-25,Adaptation.,2002,https://boxd.it/26mA
2021-01-26,King Kong,2005,https://boxd.it/2aLa
2021-01-26,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-01-26,In Bruges,2008,https://boxd.it/20n8
2021-01-27,The Cable Guy,1996,https://boxd.it/1XAI
2021-01-28,AK vs AK,2020,https://boxd.it/rBZ4
2021-01-28,War for the Planet of the Apes,2017,https://boxd.it/8FE2
2021-01-28,Superbad,2007,https://boxd.it/20hO
2021-01-28,Justice League,2017,https://boxd.it/4w68
2021-01-28,Big,1988,https://boxd.it/271S
2021-01-28,Elf,2003,https://boxd.it/1VyK
2021-01-28,Inception,2010,https://boxd.it/1skk
2021-01-28,Wonder Woman 1984,2020,https://boxd.it/gBtA
2021-01-28,The Outsiders,1983,https://boxd.it/2aPw
2021-01-28,The Amazing Spider-Man,2012,https://boxd.it/27PI
2021-01-28,Justice League: The Flashpoint Paradox,2013,https://boxd.it/5yWW
2021-01-28,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2021-01-28,Zombieland,2009,https://boxd.it/1En6
2021-01-28,Zombieland: Double Tap,2019,https://boxd.it/bgb6
2021-01-28,The Interview,2014,https://boxd.it/6KQ4
2021-01-28,BlacKkKlansman,2018,https://boxd.it/hxL8
2021-01-28,Da 5 Bloods,2020,https://boxd.it/lnXw
2021-01-28,John Wick,2014,https://boxd.it/7dEc
2021-01-28,John Wick: Chapter 2,2017,https://boxd.it/ayGu
2021-01-28,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw
2021-01-28,Star Trek,2009,https://boxd.it/1Q6c
2021-01-28,Cop Car,2015,https://boxd.it/9X0G
2021-01-28,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2021-01-28,Sinister,2012,https://boxd.it/2TnW
2021-01-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2021-01-28,Spider-Man 2,2004,https://boxd.it/2a88
2021-01-28,Shazam!,2019,https://boxd.it/8WBu
2021-01-28,Get Out,2017,https://boxd.it/eOCm
2021-01-28,Drive,2011,https://boxd.it/IG
2021-01-28,Source Code,2011,https://boxd.it/fdo
2021-01-28,Paul,2011,https://boxd.it/13uE
2021-01-28,Parasite,2019,https://boxd.it/hTha
